Kurort,Health resort
Makler,Estate agent
Schloss (n.),Castle
zugleich,at the same time
Handel,trade
Unternehmen,company
aufgetreten,"appeared, happened"
Ufer,shore
der Wohnungsmangel,Housing crisis
der Mietpreis(e),cost of rent
erlaubt,permitted / allowed
Alleinerzieher(in),single parent
etwas versäumt,to miss out on something
Erwerbstätige (pl.),Employment
geworden (sein),have become (past participle)
Kirsche,church
Einpersonenhaushalte,single person household
Vergangenheit,"Past, History"
vertrauen,to trust
Die Scheidungsrate,Divorce rate
vergleicht mit (vergleichen),compared to
zeigen,to show
hart,"tough, hard"
empfindlich,sensitive
kafkaesk,"surrealistisch - surreal,"
aufeinander,on top of each other
die Verwandlung,"metamorphosis, transformation"
aufwendig,"costly, elaborate, extravagent"
die Steuer(n),tax
eher,rather
"scheitern, ist gescheitert","to fail, failed"
herausfinden,to find out
die Entwicklung,development
verstanden,understood
die Mehrheit,the majority
das Gesetz,laws
immer weniger,fewer and fewer
knapp,barely
zweideutig,ambiguous
eindeutig,certain
führen,to lead to
die Aufmerksamkeit,attention
die Vielfalt,diversity
